,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2019-08-08,1.0416666666666667,8.095833333333333,16.216666666666665,24.204166666666666,33.041666666666664,62.34782608695652,17.55,712.7708333333334,0.0,50.291666666666664,3.1409090909090907,0.255875,30.647916666666674,3.690476190476191,76.625
2019-08-09,1.0525,7.120833333333333,18.787499999999998,25.79166666666666,32.875,63.69565217391305,17.058823529411764,712.7624999999999,0.0,45.083333333333336,3.817391304347827,0.2666666666666667,31.20041666666667,4.525,79.04166666666667
2019-08-10,1.0274999999999999,5.3875,15.170833333333333,20.462500000000002,32.25,57.31818181818182,19.2,712.9,0.0,48.375,3.629166666666667,0.262875,30.478750000000005,5.131818181818182,86.04166666666667
2019-08-11,0.9924999999999998,4.4208333333333325,11.320833333333338,15.683333333333332,27.791666666666668,43.083333333333336,14.588235294117647,713.2874999999999,0.0,52.875,2.6695652173913045,0.2595833333333334,30.062500000000004,3.995833333333333,74.58333333333333
2019-08-12,1.0816666666666668,5.845833333333331,15.683333333333332,21.4375,38.208333333333336,63.0,26.8,713.0124999999999,0.0,48.75,3.5130434782608693,0.26008333333333333,31.06125,2.7956521739130435,89.58333333333333
2019-08-13,1.0666666666666667,7.950000000000002,16.370833333333334,24.270833333333332,29.625,68.95652173913044,24.263157894736842,712.775,0.0,44.958333333333336,3.945833333333334,0.2653333333333333,31.385000000000005,4.5150000000000015,99.04166666666667
2019-08-14,1.0954166666666667,7.9375,16.237500000000004,24.066666666666663,26.583333333333332,57.25,15.363636363636363,713.3375,0.0,46.34782608695652,4.154166666666667,0.2582083333333333,30.704347826086952,4.938095238095239,81.65217391304348
2019-08-15,1.0825000000000002,6.916666666666667,13.070833333333335,19.895833333333332,30.583333333333332,75.05263157894737,22.761904761904763,713.6416666666665,0.0,46.958333333333336,2.9000000000000004,0.25558333333333333,31.500833333333333,4.838095238095239,87.625
2019-08-16,1.1147826086956523,6.895652173913042,14.04545454545455,20.41304347826087,29.608695652173914,54.61904761904762,16.736842105263158,713.1217391304348,0.0,44.0,3.140909090909091,0.20750000000000002,31.441304347826087,4.3578947368421055,110.69565217391305
2019-08-17,1.1316666666666666,6.516666666666667,16.104166666666664,22.52083333333334,31.541666666666668,70.17647058823529,23.681818181818183,712.5124999999999,0.0,49.5,3.7478260869565214,0.2554166666666667,30.933333333333334,4.785714285714286,85.54166666666667
2019-08-18,1.0441666666666667,3.8791666666666678,11.179166666666667,14.991666666666667,30.708333333333332,66.5,22.318181818181817,712.4791666666665,0.0,48.291666666666664,3.545833333333333,0.25049999999999994,30.402083333333326,5.27391304347826,77.91666666666667
2019-08-19,0.7941666666666665,6.949999999999999,11.283333333333333,18.15416666666667,18.958333333333332,67.36842105263158,20.863636363636363,713.0958333333333,0.0,53.208333333333336,2.573913043478261,0.22770833333333332,29.72125,5.833333333333333,72.625
2019-08-20,0.40625,5.3374999999999995,8.5375,13.804166666666667,22.791666666666668,76.20833333333333,18.95,713.5291666666668,0.0,50.25,2.1555555555555554,0.20041666666666666,29.33916666666667,6.679166666666666,74.41666666666667
2019-08-21,0.39833333333333326,5.333333333333333,8.479166666666666,13.737500000000002,22.833333333333332,57.541666666666664,17.88235294117647,713.4791666666666,0.0,53.291666666666664,2.0349999999999997,0.1980833333333333,28.443749999999998,5.830434782608696,80.58333333333333
2019-08-22,0.4641666666666666,6.486363636363635,11.0375,17.083333333333332,28.0,51.608695652173914,11.304347826086957,712.8291666666665,0.0,54.083333333333336,2.23,0.24254166666666668,28.959999999999997,5.126086956521739,75.08333333333333
2019-08-23,0.6379166666666666,6.466666666666665,19.2125,25.5625,28.791666666666668,66.16666666666667,17.5,712.6999999999998,0.0,56.458333333333336,2.3952380952380956,0.19233333333333333,28.595000000000002,3.3142857142857145,87.20833333333333
2019-08-24,0.6683333333333333,4.4625,19.962499999999995,24.325,29.416666666666668,62.791666666666664,30.933333333333334,713.0916666666666,0.062083333333333345,63.583333333333336,2.391666666666667,0.17662500000000003,27.483333333333334,1.8555555555555558,152.70833333333334
2019-08-25,0.5566666666666668,3.2875,13.716666666666667,16.941666666666666,44.291666666666664,48.458333333333336,17.666666666666668,712.6708333333335,1.08375,62.125,2.127272727272727,0.236,27.95,1.8363636363636366,179.375
2019-08-26,0.6733333333333333,8.504166666666666,18.74166666666667,27.129166666666663,48.833333333333336,56.0,19.0,712.0416666666665,0.0,50.458333333333336,2.930434782608696,0.25866666666666666,30.21375,3.615384615384615,147.29166666666666
