,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2015-02-03,2.06625,16.974999999999998,25.29166666666667,42.266666666666666,13.958333333333334,32.791666666666664,18.904761904761905,724.3250000000002,0.02384615384615385,93.375,7.179166666666666,0.06763636363636365,6.585000000000001,4.416666666666667,79.25
2015-02-04,2.6166666666666667,40.125,35.887499999999996,76.01250000000003,17.73913043478261,101.75,35.476190476190474,721.4291666666667,,80.83333333333333,4.0,0.3469166666666666,14.2675,4.925,141.95833333333334
2015-02-05,2.2270833333333333,27.191666666666666,22.675,49.866666666666674,11.625,84.5,24.41176470588235,726.4416666666667,,88.375,2.595238095238096,0.1292222222222222,11.61,6.387500000000002,184.41666666666666
2015-02-06,2.0475000000000003,14.070833333333333,17.270833333333332,31.341666666666665,10.958333333333334,57.708333333333336,14.521739130434783,727.4208333333332,,88.79166666666667,2.1904761904761907,0.07133333333333333,10.69,5.983333333333334,104.16666666666667
2015-02-07,2.32695652173913,37.39565217391305,35.413043478260875,72.80869565217391,15.956521739130435,140.8181818181818,50.69565217391305,722.4043478260871,,74.30434782608695,2.795652173913044,0.2519374999999999,15.536956521739132,4.830434782608696,138.34782608695653
2015-02-08,2.0483333333333333,81.82499999999999,41.012499999999996,122.83749999999998,13.583333333333334,161.75,48.40909090909091,718.1583333333333,,51.25,4.059090909090909,0.34530769230769237,21.53083333333333,4.666666666666666,244.70833333333334
2015-02-09,1.0425000000000002,22.958333333333332,31.391666666666666,54.35,20.291666666666668,101.95833333333333,21.77777777777778,721.5750000000002,,40.708333333333336,4.445833333333334,0.3667499999999999,21.968333333333337,6.9291666666666645,223.54166666666666
2015-02-10,1.2116666666666667,40.5125,36.14583333333333,76.65833333333332,20.416666666666668,122.95833333333333,27.17391304347826,719.5916666666667,,51.25,5.316666666666666,0.2714375,19.711666666666662,6.758333333333333,161.45833333333334
2015-02-11,1.0416666666666665,16.666666666666664,29.508333333333326,46.175000000000004,23.041666666666668,103.33333333333333,20.125,717.975,,58.208333333333336,7.283333333333335,0.26543750000000005,18.71166666666667,6.400000000000001,150.04166666666666
2015-02-12,0.93,7.029166666666668,17.204166666666662,24.233333333333338,15.875,42.375,,725.0708333333333,0.08153846153846156,91.45833333333333,2.169565217391303,0.06390000000000001,13.074166666666668,7.441666666666667,212.16666666666666
2015-02-13,1.2404166666666665,14.975000000000001,30.891666666666666,45.866666666666674,15.25,89.83333333333333,,726.8666666666667,0.024,91.375,10.3125,0.07049999999999997,11.625000000000002,4.179166666666666,172.16666666666666
2015-02-14,1.4645833333333333,23.012500000000003,32.854166666666664,55.86666666666668,7.666666666666667,95.91666666666667,46.285714285714285,725.1333333333333,0.01,92.75,7.9875,0.1906315789473684,13.635833333333336,3.5791666666666675,135.75
2015-02-15,1.5825000000000002,19.900000000000002,27.745833333333334,47.64583333333332,10.083333333333334,101.20833333333333,43.333333333333336,720.4083333333333,0.013333333333333334,91.29166666666667,3.0541666666666667,0.10458333333333335,16.08875,2.9875000000000003,159.83333333333334
2015-02-16,1.5729166666666663,41.6625,21.266666666666662,62.92916666666665,13.958333333333334,104.25,31.94736842105263,717.3416666666666,0.03,70.91666666666667,3.15,0.32911764705882357,18.820416666666663,7.658333333333334,305.6521739130435
2015-02-17,1.10875,17.445833333333336,17.50833333333333,34.95416666666666,14.875,60.875,21.65,723.5125000000002,,79.875,2.866666666666667,0.13171428571428573,8.51708333333333,6.262499999999999,203.04347826086956
2015-02-18,1.4325,46.583333333333336,24.133333333333336,70.71666666666667,17.208333333333332,121.0,24.73913043478261,726.2375000000001,0.01,70.04166666666667,3.4041666666666672,0.3731666666666667,11.779166666666667,6.954166666666667,156.33333333333334
2015-02-19,1.24,15.929166666666667,24.537499999999998,40.466666666666676,19.875,86.75,20.80952380952381,724.2208333333332,,71.91666666666667,4.208333333333335,0.3305384615384615,13.708749999999997,6.733333333333334,121.75
2015-02-20,1.345416666666667,12.0,26.587500000000002,38.5875,21.541666666666668,110.66666666666667,31.095238095238095,717.6791666666667,,73.54166666666667,3.186363636363636,0.3456666666666666,17.902916666666663,5.716666666666666,135.04166666666666
2015-02-21,1.7570833333333333,30.00833333333333,40.94583333333333,70.95416666666665,19.958333333333332,157.20833333333334,41.73913043478261,715.9458333333333,,66.41666666666667,5.395833333333333,0.29857142857142854,21.302916666666665,5.420833333333333,139.52173913043478
2015-02-22,1.5279166666666668,12.2125,28.0125,40.225,21.875,121.79166666666667,32.958333333333336,718.4208333333332,,74.75,8.066666666666668,0.28115384615384614,21.374166666666667,5.1083333333333325,147.0
