,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2018-04-25,0.7466666648785273,8.0125000278155,6.87499996026357,14.662499864896139,,62.708333333333336,,700.8041636149088,0.0,70.58333333333333,,0.19737499936309177,22.884583234786987,11.862500031789144,69.5
2018-04-26,0.8604166706403097,10.683333416779837,7.3958333532015486,17.87916664282481,,77.04166666666667,,700.970832824707,0.0,68.0,,0.18591666465120701,19.797083298365276,9.695833365122477,92.04166666666667
2018-04-27,0.7504166662693024,6.883333384990692,6.97083334128062,13.674999952316284,,50.333333333333336,,701.462506612142,0.0,67.16666666666667,,0.1917083309138737,20.995416561762493,11.920833388964335,69.125
2018-04-28,0.7724999984105428,5.829166670640309,7.325000027815501,12.9375,,33.541666666666664,,702.0708287556967,0.0,79.79166666666667,,0.052666667043619476,17.144583304723103,12.541666666666666,64.54166666666667
2018-04-29,0.805416668454806,5.804347846819007,7.508695706077244,13.117391213126805,,32.208333333333336,,701.9416656494141,0.0,80.5,,0.06079166699782945,17.357500076293945,9.84583338101705,64.25
2018-04-30,0.8570833305517832,10.47083338101705,7.320833384990692,17.56666672229767,,41.041666666666664,,699.9583282470703,0.0,75.33333333333333,,0.2328749993854823,21.59624981880188,9.116666600108147,86.41666666666667
2018-05-01,0.7891304337460062,,,,,56.47826086956522,,698.0173923658288,0.0,64.6086956521739,,0.2846521733470423,26.105217394621477,10.856521751569664,72.73913043478261
2018-05-02,0.8216666653752327,,,,,73.625,,698.658332824707,0.0,65.70833333333333,,0.21654166638230285,26.987500031789143,10.520833452542623,59.458333333333336
2018-05-03,0.888333335518837,,,,,94.29166666666667,,698.9958368937174,0.0,60.708333333333336,,0.17224999908648897,27.48958357175191,8.500000049670538,86.91666666666667
2018-05-04,0.8283333281675974,,,,,78.25,,700.4916687011719,0.0,69.25,,0.15749999775531856,24.485416809717815,9.145833392937979,76.08333333333333
2018-05-05,0.8125000074505806,,,,,29.347826086956523,,704.2083257039388,0.0,78.75,,0.07379166593697543,20.204583326975506,6.612500051657359,156.04166666666666
2018-05-06,0.9216666569312414,,,,,47.208333333333336,,704.375,0.0,61.375,,0.27495833367963013,24.12333345413208,7.987499957283338,135.375
2018-05-07,0.8433333312471708,,,,,57.083333333333336,,704.3916702270508,0.0,60.333333333333336,,0.21108333507921392,23.301249980926514,9.029166703422865,86.54166666666667
2018-05-08,0.9091666638851166,,,,,83.95833333333333,,702.1708297729492,0.0,47.125,,0.28754166480212007,24.22041670481364,9.966666678587595,111.95833333333333
2018-05-09,0.8312499945362409,,,,,73.95833333333333,,700.2791697184244,0.0,62.791666666666664,,0.264374998145892,23.05791664123535,11.037500038743019,68.83333333333333
2018-05-10,0.7687499970197678,,,,,54.458333333333336,,700.0916620890299,0.0,60.458333333333336,,0.2708750029366153,24.070833285649616,12.879166722297668,60.041666666666664
2018-05-11,0.7791666661699613,,,,,61.833333333333336,,699.0916697184244,0.0,62.458333333333336,,0.2613333364909825,24.052916606267292,10.72083326180776,69.20833333333333
2018-05-12,0.875833327571551,,,,,74.625,,698.9458389282227,0.0,65.375,,0.2345833309033575,24.732916673024494,9.374999950329462,70.08333333333333
2018-05-13,0.7983333319425583,,,,,58.708333333333336,,699.5624949137369,0.0,63.208333333333336,,0.24216666746360715,26.585000038146973,12.658333321412405,68.91666666666667
