,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2015-03-01,0.9962500000000002,7.1791666666666645,6.441666666666667,13.620833333333335,9.0,,45.291666666666664,716.375,,89.16666666666667,5.729166666666667,0.19825,11.019166666666665,5.645833333333333,191.625
2015-03-02,0.6083333333333331,5.6916666666666655,4.574999999999999,10.26666666666667,10.916666666666666,37.09090909090909,14.304347826086957,716.8375000000001,0.01,92.04166666666667,7.2250000000000005,0.05708333333333334,11.403333333333334,6.808333333333334,174.08333333333334
2015-03-03,0.9845833333333333,8.845833333333331,6.612500000000001,15.45833333333333,18.625,103.41666666666667,32.85,710.5916666666667,,81.66666666666667,5.529166666666666,0.4068333333333332,16.321666666666665,4.95,201.58333333333334
2015-03-04,0.96375,9.945833333333331,6.812500000000001,16.758333333333336,25.541666666666668,179.16666666666666,43.333333333333336,708.1041666666666,,78.625,6.395833333333335,0.35075000000000006,20.62916666666667,6.733333333333333,200.5
2015-03-05,0.17047619047619045,3.9291666666666667,3.3708333333333336,7.299999999999998,19.583333333333332,52.875,9.666666666666666,720.8624999999998,,71.54166666666667,3.645454545454545,0.11574999999999998,9.803333333333333,11.012500000000003,137.25
2015-03-06,0.27941176470588236,4.124999999999999,4.733333333333333,8.858333333333333,27.458333333333332,38.791666666666664,13.047619047619047,723.6833333333334,,59.0,4.8625,0.14016666666666663,7.257083333333333,8.204166666666667,122.91666666666667
2015-03-07,0.41375000000000006,4.675,5.7875000000000005,10.462499999999999,26.375,63.083333333333336,17.375,720.5041666666667,,57.166666666666664,6.05,0.30158333333333337,9.720416666666667,7.916666666666664,150.375
2015-03-08,0.72375,6.745833333333334,8.120833333333334,14.866666666666667,17.291666666666668,95.5,34.041666666666664,715.5708333333336,0.09,72.75,7.762499999999999,0.21283333333333332,13.144583333333335,5.866666666666667,182.29166666666666
2015-03-09,0.5737500000000001,5.750000000000001,6.05,11.799999999999999,22.333333333333332,68.875,28.125,710.4458333333336,0.11600000000000002,77.125,4.833333333333333,0.3097142857142857,17.451249999999998,9.516666666666667,175.0
2015-03-10,0.34521739130434786,4.0875,4.370833333333334,8.458333333333334,18.041666666666668,41.666666666666664,12.736842105263158,713.0375,0.16444444444444445,87.20833333333333,3.6625,0.03642857142857143,15.999166666666667,6.320833333333334,174.45833333333334
2015-03-11,0.5795833333333335,7.154166666666668,6.1499999999999995,13.304166666666665,19.083333333333332,57.291666666666664,14.652173913043478,716.3375000000001,0.065,79.58333333333333,3.5041666666666664,0.1596428571428572,15.49,4.499999999999999,150.08333333333334
2015-03-12,0.63125,7.666666666666665,7.441666666666666,15.108333333333334,28.166666666666668,110.41666666666667,23.434782608695652,715.1541666666667,,65.66666666666667,5.1375,0.47425,17.2225,7.741666666666667,194.29166666666666
2015-03-13,1.0204166666666667,12.024999999999999,10.100000000000001,22.125000000000004,13.416666666666666,114.79166666666667,42.17391304347826,713.8041666666668,0.036000000000000004,78.29166666666667,4.820833333333334,0.13874999999999998,15.448750000000002,4.625,235.0
2015-03-14,0.9075000000000001,9.9375,9.541666666666666,19.479166666666668,11.333333333333334,80.04166666666667,31.727272727272727,715.5499999999998,0.030000000000000006,82.41666666666667,3.716666666666667,0.05461111111111112,15.060416666666667,4.483333333333333,187.41666666666666
2015-03-15,0.8104166666666667,6.741666666666666,6.408333333333331,13.15,21.791666666666668,59.625,19.75,717.9,0.04,82.54166666666667,5.425,0.10258333333333335,15.408333333333331,9.887500000000001,140.375
2015-03-16,0.5891666666666667,4.3166666666666655,6.554166666666667,10.870833333333335,25.833333333333332,65.5,29.416666666666668,717.5875000000002,0.017142857142857144,88.20833333333333,4.870833333333333,0.06516666666666669,14.340833333333336,5.804166666666666,189.20833333333334
2015-03-17,1.10875,12.137499999999998,7.604166666666668,19.741666666666667,11.416666666666666,68.58333333333333,26.545454545454547,715.3083333333333,0.038125,91.70833333333333,4.178260869565216,0.111,16.118750000000002,4.2250000000000005,174.29166666666666
2015-03-18,0.9750000000000001,12.612499999999999,7.574999999999999,20.187499999999996,13.708333333333334,86.16666666666667,29.791666666666668,712.8708333333333,,86.08333333333333,4.591666666666666,0.13677777777777778,18.430000000000003,3.1541666666666663,204.33333333333334
2015-03-19,0.8941666666666671,11.775,5.870833333333334,17.645833333333336,21.666666666666668,164.33333333333334,30.833333333333332,711.2374999999998,,80.0,6.491666666666666,0.3535384615384615,20.676249999999996,8.029166666666667,189.625
2015-03-20,0.49958333333333343,5.841666666666665,5.337500000000001,11.179166666666665,19.75,147.70833333333334,47.041666666666664,713.1708333333332,0.03666666666666667,82.83333333333333,6.6875,0.17214285714285715,21.72,6.329166666666667,167.875
2015-03-21,0.6518181818181817,5.370833333333334,6.233333333333333,11.604166666666664,19.041666666666668,50.0,26.875,713.6708333333331,0.04636363636363638,85.33333333333333,3.4499999999999993,0.12894117647058825,19.006666666666664,5.033333333333332,164.20833333333334
2015-03-22,0.43583333333333346,5.033333333333334,4.466666666666666,9.499999999999998,27.416666666666668,76.25,30.19047619047619,713.8208333333336,,74.08333333333333,4.929166666666666,0.4394615384615384,22.410416666666666,8.0875,166.91666666666666
