,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2019-05-31,0.6775000000000001,,,,21.75,22.75,12.568333333333333,726.7874999999999,0.010833333333333334,71.75,2.531818181818182,0.11591666666666671,27.861666666666668,17.3625,
2019-06-01,0.672608695652174,,,,19.782608695652176,16.91304347826087,8.420434782608694,726.978260869565,0.003913043478260869,69.65217391304348,2.7000000000000006,0.17687499999999998,27.669999999999998,16.217391304347824,
2019-06-02,0.6295833333333335,,,,18.416666666666668,15.333333333333334,7.059583333333333,726.25,0.0,64.70833333333333,2.75,0.18674999999999997,28.50708333333333,18.104166666666668,
2019-06-03,0.6350000000000001,,,,17.708333333333332,16.541666666666668,5.719166666666666,726.8000000000001,0.0,65.79166666666667,2.7249999999999996,0.1780833333333333,28.049583333333327,20.633333333333336,
2019-06-04,0.6462500000000002,,,,21.375,15.625,5.787727272727272,726.2166666666667,0.0,62.625,2.7150000000000007,0.15491666666666667,28.41416666666667,12.8125,
2019-06-05,0.7933333333333334,,,,27.083333333333332,31.833333333333332,9.057083333333333,724.8375,0.005416666666666667,65.875,2.805882352941176,0.17329166666666662,29.16208333333333,11.804166666666667,
2019-06-06,0.83625,,,,38.333333333333336,33.166666666666664,10.47625,724.0208333333335,0.0,56.5,3.0416666666666665,0.2067916666666666,30.564166666666665,10.6625,
2019-06-07,0.8229166666666665,,,,44.166666666666664,45.083333333333336,14.332916666666668,723.7083333333335,0.0,47.583333333333336,4.11304347826087,0.20604166666666665,33.24750000000001,10.337499999999999,
2019-06-08,0.8304166666666667,,,,45.958333333333336,44.5,14.726666666666667,723.5416666666666,0.0,39.916666666666664,3.5681818181818183,0.21241666666666661,34.54708333333334,12.104166666666666,
2019-06-09,0.7566666666666665,,,,45.166666666666664,38.875,15.97625,724.6083333333336,0.0,44.041666666666664,3.405263157894737,0.2107916666666666,34.10125,15.458333333333334,
2019-06-10,0.7061904761904763,,,,39.63636363636363,35.9,15.359047619047626,730.5238095238094,0.004545454545454546,56.142857142857146,2.8705882352941177,0.13295833333333332,29.599523809523806,14.509090909090908,
2019-06-11,0.8878571428571427,,,,33.65217391304348,30.136363636363637,12.727272727272727,728.972727272727,0.003913043478260869,79.27272727272727,3.399999999999999,0.10283333333333337,25.055454545454552,7.03913043478261,
2019-06-12,,,,,51.708333333333336,29.5,18.336,727.2833333333334,0.0,69.33333333333333,2.357142857142857,0.17912499999999998,26.715,10.545833333333334,
2019-06-13,,,,,42.708333333333336,27.916666666666668,11.431249999999999,728.6625,0.0,62.0,,0.21549999999999994,28.129166666666674,15.070833333333331,
2019-06-14,,,,,38.208333333333336,23.666666666666668,9.016818181818184,726.6458333333331,0.0,60.458333333333336,,0.20683333333333329,28.532500000000002,18.45416666666667,
2019-06-15,,,,,40.75,31.875,13.432173913043478,724.3208333333332,0.0,61.125,,0.20495833333333333,28.902916666666666,15.18333333333333,
2019-06-16,,,,,35.208333333333336,32.791666666666664,14.167916666666668,722.9958333333334,0.0,60.125,,0.19066666666666665,29.661249999999995,16.3875,
